Fri Nov 21 10:57:06 CST 2014
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1416538566124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538571139,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538576124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538581124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538586124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538591124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538596124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538601124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538606124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538611124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538616124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538621124,5,25,5,0,17,0,0,0,0,0,0,0,0
1416538626139,5,25,5,0,17,0,0,0,0,0,0,0,0
Fri Nov 21 11:05:36 CST 2014
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1416539076858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539081858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539086858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539091858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539096858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539101858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539106858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539111858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539116858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539121858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539126858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539131858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539136858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539141858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539146858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539151858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539156858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539161858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539166858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539171858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539176858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539181858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539186858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539191858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539196858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539201858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539206858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539211858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539216858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539221858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539226858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539231858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539236858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539241858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539246858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539251858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539256858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539261858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539266858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539271858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539276858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539281858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539286858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539291858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539296858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539301858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539306858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539311858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539316858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539321858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539326858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539331858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539336858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539341858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539346858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539351858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539356858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539361858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539366858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539371858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539376858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539381858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539386858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539391858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539396858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539401858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539406858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539411858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539416858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539421858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539426858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539431858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539436858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539441858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539446858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539451858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539456858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539461858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539466858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539471858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539476858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539481858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539486858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539491858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539496858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539501858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539506858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539511858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539516858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539521858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539526858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539531858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539536858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539541858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539546858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539551858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539556858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539561858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539566858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539571858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539576858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539581858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539586858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539591858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539596858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539601858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539606858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539611858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539616858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539621858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539626858,5,25,5,0,17,0,0,0,0,0,0,0,0
